id,id_viaje,moneda,tipo_cambio
A005725,V064,Yen Japones,66683
A005420,V062,Dolar Americano,678.84
A013881-1,V122,Yen Japones,63334
A010187,V092,Yen Japones,68929
A003904,V047,Dolar Americano,638.14
A014701,V138,Euro,1044.93
A013226,V133,Euro,995.81
A013998,V131,Dolar Americano,948.83
A013900,V122,Yen Japones,62440
A013224,V132,Euro,995.81
A000981,V009,Dolar Americano,691.26
A012590,V108,Euro,941.52
A011069,V100,Euro,903.92
A001419,V013,Dolar Americano,660.25
A001001,V013,Dolar Americano,688.6
A015686,V143,Yen Japones,68408
A009505,V086,Euro,886.13
A007218,V080,Yen Japones,72963
A013917,V122,Yen Japones,61716
A011007,V100,Euro,936.78
A001391,V011,Dolar Americano,674.34
A013109,V113,Euro,982.04
A014213,V118,Dolar Americano,938.78
A005418,V062,Dolar Americano,678.84
A005405,V062,Dolar Americano,677.15
A004872,V052,Dolar Americano,678.23
A013871,V122,Yen Japones,63334
A011908,V101,Euro,868.24
A009487,V086,Euro,896.6
A008741,V084,Dolar Americano,813.2
A001410,V013,Dolar Americano,660.25
A001438,V013,Dolar Americano,660.25
A005819,V066,Euro,785.21
A013152,V113,Euro,973.31
A013892,V122,Yen Japones,63314
A006073,V071,Dolar Americano,774.3
A014028,V133,Euro,1014.49
A014721,V139,Euro,1017.4
A010182,V090,Euro,947.26
A014641,V138,Euro,1033.8
A008718,V083,Yen Japones,71769
A001077,V010,Euro,775.58
A013548,V120,Dolar Americano,966.4
A005354,V062,Dolar Americano,683.33
A013983,V128,Euro,1022.4
A005636,V064,Yen Japones,66492
A014014,V132,Euro,1014.49
A009516,V086,Euro,882.76
A006189,V074,Euro,864.57
A013551,V120,Dolar Americano,966.4
A013230,V122,Yen Japones,62754
A013822-1,V119,Euro,1026.29
A001992,V021,Euro,710.93
A014000,V131,Dolar Americano,948.83
A013807-1,V118,Dolar Americano,954.7
A002038,V021,Euro,712.7
A013964,V125,Dolar Americano,954.44
A007144-2,V080,Yen Japones,72587
A013632,V114,Euro,1061.55
A014184,V115,Dolar Americano,938.78
A006290,V075,Dolar Americano,752.08
A014103,V116,Yen Japones,61354
A006452,V077,Dolar Americano,811.3
A013686,V117,Euro,1049.02
A013944,V123,Dolar Americano,954.44
A011876,V101,Euro,854.57
A005268,V060,Yen Japones,64008
A013943,V123,Dolar Americano,954.44
A013813,V119,Euro,1026.29
A014012,V132,Euro,1014.49
A013567,V122,Yen Japones,64704
A003800,V047,Dolar Americano,631.29
A003102,V038,Euro,770.3
A005637,V064,Yen Japones,66492
A003461,V047,Dolar Americano,598.1
A013143,V115,Dolar Americano,889.6
A005595,V064,Yen Japones,67143
A001424,V013,Dolar Americano,660.25
A013123,V113,Euro,983.81
A005953,V070,Dolar Americano,723.73
A013139,V113,Euro,971.33
A013008,V110,Euro,934.48
A013116,V113,Euro,983.81
A004912,V052,Dolar Americano,680.19
A013767-1,V115,Dolar Americano,940.92
A013084,V113,Euro,945.58
A013560,V122,Yen Japones,64704
A013142,V113,Euro,973.31
A013850,V120,Dolar Americano,964.38
A010997,V100,Euro,929.39
A007219,V080,Yen Japones,72963
A014743,V139,Euro,1017.4
A014216,V119,Euro,1009.94
A010190,V092,Yen Japones,68929
A015648,V143,Yen Japones,67595
A004885,V052,Dolar Americano,678.23
A011005,V100,Euro,936.78
A009494,V086,Euro,893.84
A010191,V092,Yen Japones,68929
A014109,V119,Euro,1009.94
A014139,V123,Dolar Americano,938.78
A013804,V117,Euro,1023.82
A006229,V073,Dolar Americano,756.35
A014185,V115,Dolar Americano,938.78
A013117,V113,Euro,983.81
A013806-1,V118,Dolar Americano,954.7
A013654,V114,Euro,1059.13
A001776,V018,Euro,702.38
A013348,V133,Euro,1024.05
A013691,V115,Dolar Americano,974.2
A013079,V113,Euro,954.58
A015684,V143,Yen Japones,68408
A003885,V047,Dolar Americano,640.27
A013872,V122,Yen Japones,63334
A013805-1,V118,Dolar Americano,954.7
A005687,V064,Yen Japones,66094
A014259,V122,Yen Japones,61354
A013997,V131,Dolar Americano,948.83
A013777-1,V116,Yen Japones,61984
A013861-1,V121,Dolar Americano,978.2
A003782,V046,Yen Japones,57111
A011008,V100,Euro,936.78
A010171,V089,Yen Japones,68929
A011036,V100,Euro,921.36
A010162,V089,Yen Japones,68929
A015693,V143,Yen Japones,68408
A013828,V119,Euro,1026.29
A013347,V132,Euro,1024.05
A013910,V122,Yen Japones,61716
A008759,V084,Dolar Americano,813.2
A014754,V139,Euro,1021.28
A014031,V133,Euro,1014.49
A014753,V139,Euro,1021.28
A015530,V143,Yen Japones,63163
A013848-1,V120,Dolar Americano,964.38
A011894,V101,Euro,861.83
A013899,V122,Yen Japones,63314
A003024,V032,Dolar Americano,625.92
A013547,V119,Euro,1055.89
A003889,V047,Dolar Americano,639.95
A013110,V113,Euro,982.04
A003903,V047,Dolar Americano,638.14
A001349,V011,Dolar Americano,662
A014616,V134,Yen Japones,59767
A011053,V100,Euro,915.17
A013960-1,V125,Dolar Americano,954.44
A010183,V090,Euro,947.26
A013819,V119,Euro,1026.29
A001076,V010,Euro,775.58
A013745,V119,Euro,1027.32
A010184,V091,Dolar Americano,944.05
A001394,V012,Yen Japones,65981
A010545,V097,Euro,928.62
A003895,V047,Dolar Americano,638.14
A005264,V060,Yen Japones,64008
A015652,V143,Yen Japones,67595
A014016,V132,Euro,1014.49
A013919,V123,Dolar Americano,954.44
A001432,V013,Dolar Americano,660.25
A015643,V143,Yen Japones,67595
A013700,V119,Euro,1049.02
A011939,V101,Euro,863.26
A013922,V123,Dolar Americano,954.44
A014116,V121,Dolar Americano,938.78
A011935,V101,Euro,863.26
A011006,V100,Euro,936.78
A009461,V086,Euro,895.19
A002013,V021,Euro,710.93
A013863,V121,Dolar Americano,979.9
A013777,V116,Yen Japones,61984
A015687,V143,Yen Japones,68408
A003197,V047,Dolar Americano,619.6
A011058,V100,Euro,907.32
A013832,V119,Euro,1026.29
A014658,V138,Euro,1034.62
A008724,V083,Yen Japones,71769
A013421,V119,Euro,1038.71
A013897,V122,Yen Japones,63314
A015476,V143,Yen Japones,63125
A015497,V143,Yen Japones,63453
A003144,V038,Euro,771.25
A013521,V116,Yen Japones,65764
A013239,V120,Dolar Americano,909.5
A001395,V012,Yen Japones,65981
A008715,V083,Yen Japones,71769
A013816-1,V119,Euro,1026.29
A006274,V074,Euro,835.55
A005723,V064,Yen Japones,66683
A015651,V143,Yen Japones,67595
A013562,V122,Yen Japones,64704
A010839,V099,Euro,954.42
A006077,V071,Dolar Americano,774.3
A014720,V139,Euro,1017.4
A014735,V139,Euro,1017.4
A007225,V080,Yen Japones,72963
A011090,V100,Euro,895.09
A006296,V075,Dolar Americano,751.5
A013969,V127,Yen Japones,61453
A013781-1,V116,Yen Japones,61984
A013967,V125,Dolar Americano,954.44
A006300,V075,Dolar Americano,751.5
A013100,V113,Euro,982.04
A008739,V084,Dolar Americano,813.2
A014288,V133,Euro,1009.94
A013923,V123,Dolar Americano,954.44
A008751,V084,Dolar Americano,813.2
A008320,V082,Dolar Americano,732.6
A002004,V021,Euro,710.93
A009489,V086,Euro,893.84
A013825,V119,Euro,1026.29
A013706,V122,Yen Japones,64274
A010981,V100,Euro,909.84
A004905,V052,Dolar Americano,679.38
A014748,V139,Euro,1017.4
A013340,V119,Euro,1024.05
A013344,V123,Dolar Americano,953.4
A006269,V074,Euro,827.1
A013229,V122,Yen Japones,62754
A002002,V021,Euro,710.93
A009522,V086,Euro,882.76
A014157,V127,Yen Japones,61354
A013865,V121,Dolar Americano,979.9
A005717,V064,Yen Japones,66683
A000219,V002,Dolar Americano,678
A004906,V052,Dolar Americano,679.38
A011052,V100,Euro,915.17
A009479,V086,Euro,894.03
A013815,V119,Euro,1026.29
A014231,V120,Dolar Americano,938.78
A011017,V100,Euro,943.05
A001993,V021,Euro,710.93
A003888,V047,Dolar Americano,639.95
A013784-1,V116,Yen Japones,61984
A003773,V046,Yen Japones,57111
A003729,V047,Dolar Americano,632.49
A010542,V097,Euro,929.81
A013219,V128,Euro,995.81
A003780,V046,Yen Japones,57111
A010188,V092,Yen Japones,68929
A005739,V066,Euro,796.62
A008712,V083,Yen Japones,71769
A011089,V100,Euro,895.09
A013518,V126,Yen Japones,65764
A013794-1,V116,Yen Japones,62263
A003908,V047,Dolar Americano,638.14
A013766-1,V115,Dolar Americano,940.92
A005825,V066,Euro,785.21
A001446,V013,Dolar Americano,660.25
A010540,V097,Euro,929.81
A014734,V139,Euro,1017.4
A011033,V100,Euro,921.36
A014206,V116,Yen Japones,61354
A008322,V082,Dolar Americano,732.6
A014235,V120,Dolar Americano,938.78
A013701,V120,Dolar Americano,974.2
A013564,V122,Yen Japones,64704
A008709,V083,Yen Japones,71769
A013973,V127,Yen Japones,61453
A004878,V052,Dolar Americano,678.23
A015531,V143,Yen Japones,63163
A013890,V122,Yen Japones,63314
A003914,V047,Dolar Americano,638.14
A013601,V132,Euro,1033.35
A009457,V086,Euro,895.19
A013841,V120,Dolar Americano,964.38
A006104,V074,Euro,898.32
A013984-1,V128,Euro,1022.4
A014253,V122,Yen Japones,61354
A014243,V122,Yen Japones,61354
A009490,V086,Euro,893.84
A013237,V128,Euro,995.81
A002010,V021,Euro,710.93
A004887,V052,Dolar Americano,678.23
A009474,V086,Euro,894.03
A004643,V052,Dolar Americano,655.41
A001495,V021,Euro,745.69
A001414,V013,Dolar Americano,660.25
A014725,V139,Euro,1017.4
A001452,V013,Dolar Americano,660.25
A005724,V064,Yen Japones,66683
A003323,V047,Dolar Americano,608.99
A013874,V122,Yen Japones,63334
A010531,V097,Euro,922.55
A013852,V120,Dolar Americano,978.2
A014273,V123,Dolar Americano,938.78
A013894-1,V122,Yen Japones,63314
A005948,V070,Dolar Americano,723.73
A014719,V139,Euro,1017.4
A014172,V132,Euro,1009.94
A013968,V126,Yen Japones,61453
A013644,V114,Euro,1059.13
A011893,V101,Euro,861.83
A003892,V047,Dolar Americano,638.14
A011032,V100,Euro,921.36
A001008,V013,Dolar Americano,695.5
A013773-1,V116,Yen Japones,61984
A014169,V131,Dolar Americano,938.78
A013845,V120,Dolar Americano,964.38
A013075,V113,Euro,954.58
A009521,V086,Euro,882.76
A014202,V116,Yen Japones,61354
A013880,V122,Yen Japones,63334
A001431,V013,Dolar Americano,660.25
A014144,V123,Dolar Americano,938.78
A013950-1,V123,Dolar Americano,954.44
A009495,V086,Euro,893.84
A004983,V053,Yen Japones,59620
A006079,V071,Dolar Americano,774.3
A011086,V100,Euro,895.09
A010166,V089,Yen Japones,68929
A010979,V100,Euro,909.84
A014106,V119,Euro,1009.94
A013763,V115,Dolar Americano,944
A006267,V074,Euro,827.1
A004968,V053,Yen Japones,59505
A013821,V119,Euro,1026.29
A013351,V129,Yen Japones,64116
A006008,V074,Euro,826.88
A014162,V131,Dolar Americano,938.78
A013797,V116,Yen Japones,62263
A013624,V114,Euro,1061.55
A013563,V122,Yen Japones,64704
A014238,V121,Dolar Americano,938.78
A003907,V047,Dolar Americano,638.14
A011019,V100,Euro,943.05
A009491,V086,Euro,893.84
A014099,V115,Dolar Americano,938.78
A013556,V120,Dolar Americano,955.61
A005099,V057,Yen Japones,60896
A013148,V113,Euro,973.31
A005828,V066,Euro,785.21
A013243,V116,Yen Japones,62754
A015695,V143,Yen Japones,67763
A013145,V113,Euro,973.31
A013774-1,V116,Yen Japones,61984
A004860,V052,Dolar Americano,678.23
A005826,V066,Euro,785.21
A015670,V143,Yen Japones,67562
A011888,V101,Euro,857.63
A001439,V013,Dolar Americano,660.25
A015676,V143,Yen Japones,67762
A001079,V010,Euro,775.58
A013101,V113,Euro,982.04
A001080,V010,Euro,775.58
A014278,V127,Yen Japones,61354
A014131,V122,Yen Japones,61354
A009478,V086,Euro,894.03
A001425,V013,Dolar Americano,660.25
A014274,V123,Dolar Americano,938.78
A005707,V064,Yen Japones,66683
A013856,V121,Dolar Americano,978.2
A004892,V052,Dolar Americano,678.23
A005265,V060,Yen Japones,64008
A011040,V100,Euro,931.43
A013122,V113,Euro,983.81
A013652,V114,Euro,1059.13
A015689,V143,Yen Japones,68408
A015674,V143,Yen Japones,67762
A013354,V120,Dolar Americano,953.4
A008631,V084,Dolar Americano,810.9
A004971,V053,Yen Japones,59505
A013081,V113,Euro,945.58
A005688,V064,Yen Japones,65926
A010509,V095,Euro,947.2
A011022,V100,Euro,943.05
A015690,V143,Yen Japones,68408
A013240,V120,Dolar Americano,909.5
A003899,V047,Dolar Americano,638.14
A014041,V133,Euro,1009.19
A011900,V101,Euro,864.35
A014290,V133,Euro,1009.94
A014161,V128,Euro,1009.94
A013575,V125,Dolar Americano,955.61
A004868,V052,Dolar Americano,678.23
A013698,V119,Euro,1049.02
A014727,V139,Euro,1017.4
A011030,V100,Euro,921.36
A013811-1,V118,Dolar Americano,954.7
A005952,V070,Dolar Americano,723.73
A013878,V122,Yen Japones,63334
A013699,V119,Euro,1049.02
A013660,V114,Euro,1056.01
A013996,V131,Dolar Americano,948.83
A013982,V128,Euro,1022.4
A002480,V024,Euro,754.23
A015532,V143,Yen Japones,63163
A013802-1,V117,Euro,1023.82
A013802,V117,Euro,1023.82
A011891,V101,Euro,861.83
A013916,V122,Yen Japones,61716
A013783,V116,Yen Japones,61984
A013834-1,V119,Euro,1026.29
A013934,V123,Dolar Americano,954.44
A013012,V115,Dolar Americano,858.74
A011882,V101,Euro,854.57
A003781,V046,Yen Japones,57111
A013935,V123,Dolar Americano,954.44
A013988-1,V128,Euro,1015.79
A014018,V132,Euro,1014.49
A004856,V052,Dolar Americano,667.03
A013823,V119,Euro,1026.29
A013602,V132,Euro,1033.35
A013811,V118,Dolar Americano,954.7
A013942,V123,Dolar Americano,954.44
A014656,V138,Euro,1034.62
A005726,V064,Yen Japones,66683
A011042,V100,Euro,931.43
A011100,V100,Euro,895.62
A014119,V122,Yen Japones,61354
A014019,V132,Euro,1014.49
A007237,V080,Yen Japones,73981
A006453,V077,Dolar Americano,811.3
A003157,V040,Dolar Americano,638.1
A001407,V013,Dolar Americano,660.25
A002005,V021,Euro,710.93
A015665,V143,Yen Japones,67562
A008752,V084,Dolar Americano,813.2
A014233,V120,Dolar Americano,938.78
A013907-1,V122,Yen Japones,61716
A008565,V084,Dolar Americano,784.68
A014207,V116,Yen Japones,61354
A000985,V009,Dolar Americano,691.26
A001988,V021,Euro,710.93
A013593,V131,Dolar Americano,944.13
A013717,V125,Dolar Americano,974.2
A015647,V143,Yen Japones,67595
A006075,V071,Dolar Americano,774.3
A013242,V123,Dolar Americano,909.5
A001417,V013,Dolar Americano,660.25
A005951,V070,Dolar Americano,723.73
A005403,V062,Dolar Americano,677.15
A013558,V121,Dolar Americano,955.61
A011018,V100,Euro,943.05
A013886,V122,Yen Japones,63314
A015475,V143,Yen Japones,63125
A014258,V122,Yen Japones,61354
A011023,V100,Euro,943.05
A010172,V089,Yen Japones,68929
A005699,V064,Yen Japones,66683
A013559,V122,Yen Japones,64704
A014004,V131,Dolar Americano,948.83
A013169,V113,Euro,1002.57
A011081,V100,Euro,895.67
A005709,V064,Yen Japones,66683
A011915,V101,Euro,855.45
A013827,V119,Euro,1026.29
A013572,V124,Euro,1043.91
A014006,V131,Dolar Americano,948.83
A013940,V123,Dolar Americano,954.44
A013106,V113,Euro,982.04
A015496,V143,Yen Japones,63453
A014732,V139,Euro,1017.4
A015495,V143,Yen Japones,63453
A013799,V116,Yen Japones,62263
A013011,V115,Dolar Americano,858.74
A014192,V116,Yen Japones,61354
A011087,V100,Euro,895.09
A004972,V053,Yen Japones,59505
A013993,V131,Dolar Americano,948.83
A013788,V116,Yen Japones,61984
A013418,V117,Euro,1040.03
A009493,V086,Euro,893.84
A013209,V119,Euro,998.56
A013662,V114,Euro,1056.41
A013957,V125,Dolar Americano,954.44
A015471,V143,Yen Japones,63008
A006449,V077,Dolar Americano,811.3
A013220,V128,Euro,995.81
A000265,V003,Dolar Americano,691.07
A013760,V115,Dolar Americano,948.15
A008748,V084,Dolar Americano,813.2
A001997,V021,Euro,710.93
A015456,V143,Yen Japones,62537
A009500,V086,Euro,886.13
A004970,V053,Yen Japones,59505
A013779,V116,Yen Japones,61984
A013150,V113,Euro,973.31
A013928,V123,Dolar Americano,954.44
A006259,V075,Dolar Americano,751.34
A003926,V047,Dolar Americano,646.09
A014171,V132,Euro,1009.94
A013212,V120,Dolar Americano,910.26
A013112,V113,Euro,981.77
A000213,V002,Dolar Americano,678
A011037,V100,Euro,931.43
A008722,V083,Yen Japones,71769
A013166,V113,Euro,1002.57
A011887,V101,Euro,857.63
A013238,V128,Euro,995.81
A013222,V129,Yen Japones,62754
A005664,V074,Euro,785.85
A005267,V060,Yen Japones,64008
A013476,V122,Yen Japones,64232
A003919,V047,Dolar Americano,638.14
A013849-1,V120,Dolar Americano,964.38
A013493,V115,Dolar Americano,964.32
A005700,V064,Yen Japones,66683
A003922,V047,Dolar Americano,638.14
A015898,V144,Euro,1096.04
A013840,V119,Euro,1026.29
A013780-1,V116,Yen Japones,61984
A011092,V100,Euro,895.09
A006260,V075,Dolar Americano,751.34
A011056,V100,Euro,907.32
A010844,V099,Euro,970.32
A006280,V074,Euro,835.55
A013092,V113,Euro,966.5
A011079,V100,Euro,895.67
A013921,V123,Dolar Americano,954.44
A013527,V119,Euro,1055.89
A013129,V113,Euro,977.65
A008317,V082,Dolar Americano,732.6
A013824,V119,Euro,1026.29
A010530,V097,Euro,922.55
A005714,V064,Yen Japones,66683
A014003,V131,Dolar Americano,948.83
A009492,V086,Euro,893.84
A001441,V013,Dolar Americano,660.25
A001396,V013,Dolar Americano,674.34
A014214,V118,Dolar Americano,938.78
A009511,V086,Euro,882.76
A011074,V100,Euro,909.83
A011034,V100,Euro,921.36
A013979,V128,Euro,1022.4
A014196,V116,Yen Japones,61354
A011057,V100,Euro,907.32
A015639,V143,Yen Japones,67595
A002003,V021,Euro,710.93
A006001,V068,Dolar Americano,740.6
A013954,V124,Euro,1016.86
A009496,V086,Euro,893.84
A014122,V122,Yen Japones,61354
A013007,V110,Euro,934.48
A014200,V116,Yen Japones,61354
A014135,V122,Yen Japones,61354
A007228,V080,Yen Japones,72963
A011922,V101,Euro,855.45
A005719,V064,Yen Japones,66683
A013836-1,V119,Euro,1026.29
A014030,V133,Euro,1014.49
A013782-1,V116,Yen Japones,61984
A013232,V121,Dolar Americano,909.5
A013990-1,V129,Yen Japones,61126
A009512,V086,Euro,882.76
A015672,V143,Yen Japones,67562
A015656,V143,Yen Japones,67595
A004902,V052,Dolar Americano,679.38
A001779,V018,Euro,702.38
A013817,V119,Euro,1026.29
A004684,V052,Dolar Americano,657.62
A008742,V084,Dolar Americano,813.2
A001426,V013,Dolar Americano,660.25
A004862,V052,Dolar Americano,678.23
A013646,V114,Euro,1059.13
A001418,V013,Dolar Americano,660.25
A014141,V123,Dolar Americano,938.78
A006277,V074,Euro,835.55
A011072,V100,Euro,909.83
A013472,V114,Euro,1045.03
A008738,V084,Dolar Americano,813.2
A013819-1,V119,Euro,1026.29
A011917,V101,Euro,855.45
A015677,V143,Yen Japones,67762
A013156,V113,Euro,987.55
A013631,V114,Euro,1061.55
A003881,V047,Dolar Americano,640.27
A004849,V052,Dolar Americano,667.03
A013157,V113,Euro,1002.57
A005942,V068,Dolar Americano,723.8
A004901,V052,Dolar Americano,679.38
A013231,V121,Dolar Americano,909.5
A009453,V086,Euro,895.19
A006001-1,V070,Dolar Americano,740.6
A008314,V082,Dolar Americano,732.6
A013519,V126,Yen Japones,65764
A013810,V118,Dolar Americano,954.7
A013960,V125,Dolar Americano,954.44
A013528,V119,Euro,1055.89
A013341,V120,Dolar Americano,953.4
A005822,V066,Euro,785.21
A013599,V132,Euro,1033.35
A000217,V002,Dolar Americano,678
A008323,V082,Dolar Americano,732.6
A013810-1,V118,Dolar Americano,954.7
A006454,V077,Dolar Americano,811.3
A013933-1,V123,Dolar Americano,954.44
A008725,V083,Yen Japones,71769
A005708,V064,Yen Japones,66683
A014017,V132,Euro,1014.49
A011011,V100,Euro,936.78
A006289,V075,Dolar Americano,752.08
A013844,V120,Dolar Americano,964.38
A003778,V046,Yen Japones,57111
A013128,V113,Euro,977.65
A000830,V008,Dolar Americano,680.45
A001420,V013,Dolar Americano,660.25
A005712,V064,Yen Japones,66683
A014265,V123,Dolar Americano,938.78
A010838,V099,Euro,954.42
A013126,V113,Euro,977.65
A002000,V021,Euro,710.93
A014187,V116,Yen Japones,61354
A015688,V143,Yen Japones,68408
A014205,V116,Yen Japones,61354
A013920-1,V123,Dolar Americano,954.44
A005593,V064,Yen Japones,67143
A009501,V086,Euro,886.13
A013887-1,V122,Yen Japones,63314
A013233,V129,Yen Japones,62754
A009520,V086,Euro,882.76
A014203,V116,Yen Japones,61354
A001393,V011,Dolar Americano,674.34
A003776,V046,Yen Japones,57111
A014256,V122,Yen Japones,61354
A013146,V113,Euro,973.31
A013962,V125,Dolar Americano,954.44
A011912,V101,Euro,855.45
A014035-1,V133,Euro,1014.49
A013650,V114,Euro,1059.13
A014276,V125,Dolar Americano,938.78
A014487,V139,Euro,998.36
A008647,V084,Dolar Americano,824
A009503,V086,Euro,886.13
A007226,V080,Yen Japones,72963
A011064,V100,Euro,907.32
A009525,V086,Euro,882.76
A004910,V052,Dolar Americano,680.19
A015668,V143,Yen Japones,67562
A013569,V124,Euro,1043.91
A012763,V113,Euro,987.32
A013915,V122,Yen Japones,61716
A013210,V119,Euro,998.56
A001428,V013,Dolar Americano,660.25
A003850,V047,Dolar Americano,634.35
A003890,V047,Dolar Americano,639.95
A015666,V143,Yen Japones,67562
A014078,V133,Euro,1022.72
A013875,V122,Yen Japones,63334
A014219,V119,Euro,1009.94
A012948,V115,Dolar Americano,884.92
A002008,V021,Euro,710.93
A013978,V128,Euro,1022.4
A004857,V052,Dolar Americano,667.03
A003023,V032,Dolar Americano,625.92
A013907,V122,Yen Japones,61716
A005722,V064,Yen Japones,66683
A014164,V131,Dolar Americano,938.78
A011012,V100,Euro,936.78
A008708,V083,Yen Japones,71769
A004854,V052,Dolar Americano,667.03
A014123,V122,Yen Japones,61354
A014194,V116,Yen Japones,61354
A013914-1,V122,Yen Japones,61716
A013877,V122,Yen Japones,63334
A003339,V047,Dolar Americano,602.15
A011028,V100,Euro,923.31
A011046,V100,Euro,922.74
A001778,V018,Euro,702.38
A013167,V113,Euro,1002.57
A012591,V108,Euro,941.52
A013970,V127,Yen Japones,61453
A015897,V144,Euro,1096.04
A003872,V047,Dolar Americano,632.47
A001390,V011,Dolar Americano,674.34
A013955,V124,Euro,1016.86
A013902-1,V122,Yen Japones,62440
A014140,V123,Dolar Americano,938.78
A009458,V086,Euro,895.19
A005701,V064,Yen Japones,66683
A005939,V068,Dolar Americano,723.8
A013935-1,V123,Dolar Americano,954.44
A013989,V129,Yen Japones,61126
A009510,V086,Euro,882.76
A008740,V084,Dolar Americano,813.2
A014113,V120,Dolar Americano,938.78
A004898,V052,Dolar Americano,678.23
A009472,V086,Euro,895.19
A015472,V143,Yen Japones,63008
A015457,V143,Yen Japones,62537
A015642,V143,Yen Japones,67595
A008319,V082,Dolar Americano,732.6
A013866,V121,Dolar Americano,979.9
A013130,V113,Euro,977.65
A013859,V121,Dolar Americano,978.2
A014647,V138,Euro,1033.8
A001453,V013,Dolar Americano,660.25
A010512,V095,Euro,947.2
A006458,V077,Dolar Americano,811.3
A005710,V064,Yen Japones,66683
A001082,V010,Euro,775.58
A009473,V086,Euro,895.19
A007224,V080,Yen Japones,72963
A005402,V062,Dolar Americano,677.15
A014026,V133,Euro,1014.49
A004973,V053,Yen Japones,59505
A013936,V123,Dolar Americano,954.44
A004864,V052,Dolar Americano,678.23
A003779,V046,Yen Japones,57111
A014212,V118,Dolar Americano,938.78
A010510,V095,Euro,947.2
A001000,V013,Dolar Americano,688.6
A011009,V100,Euro,936.78
A010996,V100,Euro,929.39
A013995,V131,Dolar Americano,948.83
A013486,V115,Dolar Americano,964.32
A013905,V122,Yen Japones,62440
A006278,V074,Euro,835.55
A004969,V053,Yen Japones,59505
A013933,V123,Dolar Americano,954.44
A013487,V115,Dolar Americano,964.32
A001774,V018,Euro,702.38
A014142,V123,Dolar Americano,938.78
A014159,V128,Euro,1009.94
A013098,V113,Euro,966.5
A013839-1,V119,Euro,1026.29
A011907,V101,Euro,868.24
A015646,V143,Yen Japones,67595
A011916,V101,Euro,855.45
A011091,V100,Euro,895.09
A008719,V083,Yen Japones,71769
A008707,V083,Yen Japones,71769
A005269,V060,Yen Japones,64008
A013946,V123,Dolar Americano,954.44
A013791,V116,Yen Japones,61984
A013779-1,V116,Yen Japones,61984
A013636,V114,Euro,1061.23
A014147,V123,Dolar Americano,938.78
A013879,V122,Yen Japones,63334
A013628,V114,Euro,1061.55
A004975,V053,Yen Japones,59505
A013695,V116,Yen Japones,64274
A013689,V122,Yen Japones,64274
A006456,V077,Dolar Americano,811.3
A010547,V097,Euro,928.62
A007223,V080,Yen Japones,72963
A014015,V132,Euro,1014.49
A001387,V011,Dolar Americano,674.34
A015895,V144,Euro,1096.04
A005935,V068,Dolar Americano,723.8
A005821,V066,Euro,785.21
A014199,V116,Yen Japones,61354
A013854,V123,Dolar Americano,978.2
A013795,V116,Yen Japones,62263
A013629,V114,Euro,1061.55
A013980,V128,Euro,1022.4
A013525,V119,Euro,1055.89
A013087,V113,Euro,945.58
A002482,V024,Euro,754.23
A015637,V143,Yen Japones,67595
A005400,V062,Dolar Americano,677.15
A008711,V083,Yen Japones,71769
A014034,V133,Euro,1014.49
A010173,V089,Yen Japones,68929
A005954,V070,Dolar Americano,723.73
A013850-1,V120,Dolar Americano,964.38
A009497,V086,Euro,886.13
A010167,V089,Yen Japones,68929
A009466,V086,Euro,895.19
A013720,V131,Dolar Americano,974.2
A001981,V021,Euro,712.75
A013642-1,V114,Euro,1059.13
A013949-1,V123,Dolar Americano,954.44
A013633,V114,Euro,1061.55
A014033,V133,Euro,1014.49
A006285,V074,Euro,842.1
