id,id_viaje,moneda,tipo_cambio
A003030,V033,Yen Japones,55903
A013656,V114,Euro,1059.13
A013643,V114,Euro,1059.13
A013796,V116,Yen Japones,62263
A013514,V124,Euro,1050.5
A013789,V116,Yen Japones,61984
A013597,V131,Dolar Americano,944.13
A013580,V128,Euro,1043.91
A006105,V074,Euro,898.32
A014009,V132,Euro,1014.49
A001422,V013,Dolar Americano,660.25
A002001,V021,Euro,710.93
A011098,V100,Euro,895.62
A013895,V122,Yen Japones,63314
A005594,V064,Yen Japones,67143
A013710,V122,Yen Japones,64274
A013953,V124,Euro,1016.86
A013827-1,V119,Euro,1026.29
A014264,V123,Dolar Americano,938.78
A014170,V132,Euro,1009.94
A010504,V095,Euro,944.84
A004851,V052,Dolar Americano,667.03
A013346,V129,Yen Japones,64116
A014287,V132,Euro,1009.94
A013971,V127,Yen Japones,61453
A015659,V143,Yen Japones,67595
A013882-1,V122,Yen Japones,63334
A013574,V125,Dolar Americano,955.61
A010507,V095,Euro,947.2
A014224,V119,Euro,1009.94
A003897,V047,Dolar Americano,638.14
A011020,V100,Euro,943.05
A011055,V100,Euro,912.63
A011029,V100,Euro,923.31
A001074,V010,Euro,775.58
A013688,V116,Yen Japones,64274
A011061,V100,Euro,907.32
A006450,V077,Dolar Americano,811.3
A013557,V121,Dolar Americano,955.61
A001437,V013,Dolar Americano,660.25
A010170,V089,Yen Japones,68929
A013155,V113,Euro,973.31
A006457,V077,Dolar Americano,811.3
A005409,V062,Dolar Americano,677.15
A003021,V032,Dolar Americano,625.92
A015678,V143,Yen Japones,67762
A014007,V132,Euro,1018
A003147,V039,Euro,771.25
A008566,V084,Dolar Americano,784.68
A013843,V120,Dolar Americano,964.38
A007222,V080,Yen Japones,72963
A011063,V100,Euro,907.32
A014011,V132,Euro,1014.49
A013630,V114,Euro,1061.55
A009499,V086,Euro,886.13
A013526,V119,Euro,1055.89
A013852-1,V120,Dolar Americano,978.2
A013807,V118,Dolar Americano,954.7
A013818,V119,Euro,1026.29
A009523,V086,Euro,882.76
A003770,V046,Yen Japones,57111
A013498,V130,Euro,1050.5
A013791-1,V116,Yen Japones,61984
A012334,V106,Euro,915.44
A006286,V074,Euro,842.1
A013975-1,V128,Euro,1022.4
A013891-1,V122,Yen Japones,63314
A013135,V113,Euro,971.81
A004850,V052,Dolar Americano,667.03
A000214,V002,Dolar Americano,678
A013598,V131,Dolar Americano,944.13
A014163,V131,Dolar Americano,938.78
A013945,V123,Dolar Americano,954.44
A014082,V133,Euro,1022.72
A006275,V074,Euro,835.55
A003243,V042,Dolar Americano,614.65
A013422,V116,Yen Japones,64091
A013661,V114,Euro,1056.41
A002009,V021,Euro,710.93
A014177,V132,Euro,1009.94
A005643,V064,Yen Japones,66492
A009460,V086,Euro,895.19
A011993,V103,Euro,846.33
A000212,V002,Dolar Americano,678
A003139,V037,Euro,771.25
A005711,V064,Yen Japones,66683
A014223,V119,Euro,1009.94
A013120,V113,Euro,983.81
A003920,V047,Dolar Americano,638.14
A014728,V139,Euro,1017.4
A014625,V136,Euro,1030.95
A013639,V114,Euro,1059.13
A006451,V077,Dolar Americano,811.3
A010192,V092,Yen Japones,68929
A013823-1,V119,Euro,1026.29
A015478,V143,Yen Japones,63125
A014686,V138,Euro,1020.26
A013947,V123,Dolar Americano,954.44
A013761,V115,Dolar Americano,944
A013712,V124,Euro,1049.02
A013883-1,V122,Yen Japones,63334
A011913,V101,Euro,855.45
A001451,V013,Dolar Americano,660.25
A005094,V057,Yen Japones,60896
A007229,V080,Yen Japones,72963
A001442,V013,Dolar Americano,660.25
A010537,V097,Euro,922.55
A003772,V046,Yen Japones,57111
A011921,V101,Euro,855.45
