"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","monto","periodo_fact_c_diaria","tipo_razon_uso","id_viaje","grupo_viaje","id_presupuesto"
A014953,2024-09-27,HOGAR,hogar,hogar1990,HOGAR4,-5011.5,202409,regular,,,
A014954,2024-09-27,NECESIDAD,consumible,consumible_7577,NECESIDAD5,-3848.25,202409,regular,,,
A014955,2024-09-27,NECESIDAD,consumible,consumible_5497,NECESIDAD5,-282.36,202409,regular,,,
A014956,2024-09-27,NECESIDAD,consumible,consumible_8146,NECESIDAD6,-2861.25,202409,regular,,,
A014957,2024-09-27,NECESIDAD,consumible,consumible_6921,NECESIDAD1,-3735.45,202409,regular,,,
A014958,2024-09-27,NECESIDAD,consumible,consumible_4721,NECESIDAD1,-921.09,202409,regular,,,
A014959,2024-09-27,NECESIDAD,consumible,consumible_6149,NECESIDAD3,-2122.41,202409,regular,,,
A014960,2024-09-27,NECESIDAD,consumible,consumible_6865,NECESIDAD7,-3883.5,202409,regular,,,
A014961,2024-09-27,NECESIDAD,consumible,consumible_3618,NECESIDAD4,-3523.95,202409,regular,,,
A014962,2024-09-27,SUSCRIPCION,hogar,hogar_8926,SUSCRIPCION2,-9163.95,202409,regular,,,
A014963,2024-09-27,RECREACION,consumible,consumible_13085,RECREACION5,-4024.5,202409,regular,,,
A014964,2024-09-27,RECREACION,consumible,consumible_13052,RECREACION8,-3249.0,202409,regular,,,
A014965,2024-09-27,RECREACION,transporte,transporte_13,RECREACION8,-2755.5,202409,regular,,,
A014966,2024-09-27,RECREACION,consumible,consumible_12425,RECREACION5,-12015.675,202409,regular,,,
A014967,2024-09-27,RECREACION,invitacion,invitacion: nombre_15,RECREACION4,-12015.675,202409,regular,,,
A014971,2024-10-01,NECESIDAD,consumible,consumible_5900,NECESIDAD2,-1275.0,202410,regular,,,
A014972,2024-10-02,NECESIDAD,necesidad,necesidad_12,NECESIDAD3,-42235.5,202410,regular,,,
A014973,2024-10-03,SUSCRIPCION,hogar,hogar_8925,SUSCRIPCION3,-47805.0,202410,regular,,,
A014975,2024-10-05,P.VIAJE,transporte,transporte_5,P.VIAJE2,-10581.0,202410,especifico,V140,G078,P073
A014976,2024-10-06,P.VIAJE,regalo,regalo: nombre_7,P.VIAJE3,-53938.5,202410,especifico,V140,G078,P073
A014977,2024-10-06,P.VIAJE,regalo,regalo: nombre_15,P.VIAJE4,-10581.0,202410,especifico,V140,G078,P073
A014978,2024-10-06,P.VIAJE,consumible,consumible_7107,P.VIAJE3,-8113.5,202410,especifico,V140,G078,P073
A014979,2024-10-06,P.VIAJE,recreacion,recreacion_10,P.VIAJE4,-10898.25,202410,especifico,V140,G078,P073
A014980,2024-10-07,RECREACION,evento,evento_7844,RECREACION6,-8148.75,202410,regular,,,
A014981,2024-10-07,RECREACION,invitacion,invitacion: nombre_19,RECREACION5,-8148.75,202410,regular,,,
A014982,2024-10-07,NECESIDAD,consumible,consumible_4191,NECESIDAD1,-3312.45,202410,regular,,,
A014983,2024-10-07,NECESIDAD,consumible,consumible_5330,NECESIDAD2,-3072.75,202410,regular,,,
A014984,2024-10-07,NECESIDAD,consumible,consumible_6645,NECESIDAD7,-7679.924999999999,202410,regular,,,
A014985,2024-10-07,NECESIDAD,consumible,consumible_5060,NECESIDAD2,-8346.15,202410,regular,,,
A014986,2024-10-07,NECESIDAD,consumible,consumible_6148,NECESIDAD4,-3041.73,202410,regular,,,
A014987,2024-10-07,HOGAR,hogar,hogar1798,HOGAR2,-3460.5,202410,regular,,,
A014988,2024-10-07,NECESIDAD,consumible,consumible_6022,NECESIDAD10,-5152.5,202410,regular,,,
A014989,2024-10-07,NECESIDAD,consumible,consumible_6492,NECESIDAD10,-981.72,202410,regular,,,
A014990,2024-10-07,NECESIDAD,consumible,consumible_8356,NECESIDAD6,-6245.25,202410,regular,,,
A014991,2024-10-07,NECESIDAD,consumible,consumible_5578,NECESIDAD4,-1423.0500000000002,202410,regular,,,
A014992,2024-10-09,RECREACION,consumible,consumible_10098,RECREACION2,-10440.0,202410,regular,,,
A014993,2024-10-09,RECREACION,consumible,consumible_13081,RECREACION9,-4024.5,202410,regular,,,
A014994,2024-10-09,LIBRE,consumible,consumible_6687,LIBRE2,-4623.75,202410,regular,,,
A014995,2024-10-09,RECREACION,transporte,transporte_10,RECREACION4,-6344.655,202410,regular,,,
A014996,2024-10-09,NECESIDAD,necesidad,necesidad_10,NECESIDAD7,-30935.055,202410,regular,,,
A014997,2024-10-09,LIBRE,consumible,consumible_2692,LIBRE7,-8990.52,202410,regular,,,
A014998,2024-10-09,LIBRE,recreacion,recreacion_11,LIBRE6,-774.45,202410,regular,,,
A014999,2024-10-11,NECESIDAD,consumible,consumible_5496,NECESIDAD6,-1627.5,202410,regular,,,
A015000,2024-10-13,SUSCRIPCION,gustos,gustos_9366,SUSCRIPCION2,-3119.2799999999997,202410,regular,,,
A015001,2024-10-14,SUSCRIPCION,hogar,hogar_8922,SUSCRIPCION6,-14035.5,202410,regular,,,
A015002,2024-10-14,NECESIDAD,consumible,consumible_5896,NECESIDAD6,-1275.0,202410,regular,,,
A015003,2024-10-15,NECESIDAD,consumible,consumible_8008,NECESIDAD4,-11215.5,202410,regular,,,
A015004,2024-10-15,NECESIDAD,consumible,consumible_7343,NECESIDAD9,-2935.2749999999996,202410,regular,,,
A015005,2024-10-15,NECESIDAD,consumible,consumible_4718,NECESIDAD4,-1224.24,202410,regular,,,
A015006,2024-10-15,NECESIDAD,consumible,consumible_6146,NECESIDAD6,-1941.93,202410,regular,,,
A015007,2024-10-15,NECESIDAD,consumible,consumible_7302,NECESIDAD10,-2473.5,202410,regular,,,
A015008,2024-10-15,NECESIDAD,consumible,consumible_5577,NECESIDAD5,-879.495,202410,regular,,,
A015009,2024-10-15,NECESIDAD,consumible,consumible_5358,NECESIDAD4,-1056.45,202410,regular,,,
A015010,2024-10-15,NECESIDAD,consumible,consumible_3616,NECESIDAD6,-3100.95,202410,regular,,,
A015011,2024-10-15,NECESIDAD,consumible,consumible_8292,NECESIDAD10,-3354.75,202410,regular,,,
A015012,2024-10-15,NECESIDAD,consumible,consumible_6372,NECESIDAD10,-8661.285,202410,regular,,,
A015013,2024-10-15,NECESIDAD,consumible,consumible_6484,NECESIDAD8,-906.285,202410,regular,,,
A015014,2024-10-15,NECESIDAD,consumible,consumible_7619,NECESIDAD3,-5043.225,202410,regular,,,
