"id","fecha","razon_uso","descripcion","lugar_de_uso","monto","id_deuda","periodo_fact_c_diaria","nombre_deudor","periodo_id_deuda"
A003513,2018-03-24,RECREACION,deuda: nombre_5,RECREACION3,-2121.0,D037,201803,nombre_5,201803
A003514,2018-03-24,RECREACION,deuda: nombre_15,RECREACION4,-4236.0,D037,201803,nombre_15,201803
A003605,2018-04-22,P.VIAJE,deuda: nombre_1,P.VIAJE2,-35256.0,D038,201804,nombre_1,201804
A003605-1,2018-04-22,P.VIAJE,deuda: nombre_12,P.VIAJE3,-35256.0,D038,201804,nombre_12,201804
A003605-2,2018-04-22,P.VIAJE,deuda: nombre_15,P.VIAJE4,-35256.0,D038,201804,nombre_15,201804
A003636,2018-05-01,LIBRE,deuda_1353,LIBRE6,14094.0,D214,201805,Varios,201805
A003638,2018-05-01,RECREACION,deuda: nombre_15,RECREACION5,-8113.5,D214,201805,nombre_15,201805
A003639,2018-05-01,LIBRE,deuda_1347,LIBRE2,-8536.5,D214,201805,Varios,201805
A003645,2018-05-03,P.VIAJE,deuda: nombre_13,P.VIAJE5,35244.0,D038,201805,nombre_13,201804
A003666,2018-05-04,P.VIAJE,deuda: nombre_14,P.VIAJE6,2814.0,D038,201805,nombre_14,201804
A003667,2018-05-04,P.VIAJE,deuda: nombre_2,P.VIAJE7,35244.0,D038,201805,nombre_2,201804
A003675,2018-05-05,P.VIAJE,deuda: nombre_16,P.VIAJE8,35244.0,D038,201805,nombre_16,201804
A003725,2018-05-17,RECREACION,deuda: nombre_9,RECREACION6,-3601.5,D039,201805,nombre_9,201805
A003726,2018-05-17,RECREACION,deuda: nombre_10,RECREACION7,-3601.5,D039,201805,nombre_10,201805
A003727,2018-05-17,RECREACION,deuda: nombre_3,RECREACION8,3519.0,D039,201805,nombre_3,201805
A003728,2018-05-17,RECREACION,deuda: nombre_4,RECREACION9,3519.0,D039,201805,nombre_4,201805
A003730,2018-05-17,P.VIAJE,deuda: nombre_12,P.VIAJE9,-103641.0,D033,201805,nombre_12,201712
A003733,2018-05-17,RECREACION,deuda: nombre_2,RECREACION10,-3813.0,D040,201805,nombre_2,201805
A003739,2018-05-19,RECREACION,deuda: nombre_3,RECREACION1,3519.0,D040,201805,nombre_3,201805
A003750,2018-05-21,P.VIAJE,deuda: nombre_7,P.VIAJE10,-14106.0,D000,201805,nombre_7,201604
A003821,2018-06-07,LIBRE,deuda: nombre_5,LIBRE6,7044.0,D041,201806,nombre_5,201806
A003829,2018-06-07,LIBRE,deuda: nombre_1,LIBRE7,-7056.0,D041,201806,nombre_1,201806
A003838,2018-06-08,RECREACION,deuda: nombre_13,RECREACION2,-13401.0,D042,201806,nombre_13,201806
A003839,2018-06-08,RECREACION,deuda: nombre_14,RECREACION3,13389.0,D042,201806,nombre_14,201806
A003850,2018-06-13,P.VIAJE,deuda: nombre_13,P.VIAJE1,63112.649999999994,D033,201806,nombre_13,201712
A003872,2018-06-17,P.VIAJE,deuda: nombre_18,P.VIAJE2,70494.0,D033,201806,nombre_18,201712
A003909,2018-06-23,P.VIAJE,deuda: nombre_14,P.VIAJE3,-1416.0,D000,201806,nombre_14,201604
A003925,2018-06-26,LIBRE,deuda: nombre_13,LIBRE8,-3531.0,D043,201806,nombre_13,201806
A003931,2018-06-28,LIBRE,deuda: nombre_14,LIBRE9,3519.0,D043,201806,nombre_14,201806
A003974,2018-07-08,RECREACION,deuda: nombre_16,RECREACION4,-3108.0,D044,201807,nombre_16,201807
A003980,2018-07-09,RECREACION,deuda: nombre_7,RECREACION5,2814.0,D044,201807,nombre_7,201807
A004035,2018-07-27,RECREACION,deuda: nombre_2,RECREACION6,-4095.0,D000,201807,nombre_2,201604
A004038,2018-07-28,HOGAR,deuda: nombre_3,HOGAR2,7044.0,D045,201807,nombre_3,201807
A004039,2018-07-28,HOGAR,deuda456,HOGAR10,-3178.5,D045,201807,Varios,201807
A004040,2018-07-28,HOGAR,deuda455,HOGAR9,-2826.0,D045,201807,Varios,201807
A004041,2018-07-28,HOGAR,deuda398,HOGAR2,-358.5,D045,201807,Varios,201807
A004055,2018-07-31,P.VIAJE,deuda: nombre_16,P.VIAJE4,-111748.5,D033,201807,nombre_16,201712
A004067,2018-08-07,LIBRE,deuda: nombre_5,LIBRE10,-5646.0,D046,201808,nombre_5,201808
A004075,2018-08-12,RECREACION,deuda_8264,RECREACION6,-25809.0,D047,201808,Varios,201808
