"id","id_creditos","periodo_inicio","periodo_corte","tipo_credito","primer_dia_mes_corte"
A003215,33,201712,201801,gasto,2018-01-01
A003229,33,201712,201801,deposito,2018-01-01
A003236,33,201712,201801,gasto,2018-01-01
A003240,33,201712,201801,gasto,2018-01-01
A003241,33,201712,201801,gasto,2018-01-01
A003246,33,201712,201801,gasto,2018-01-01
A003250,33,201712,201801,deposito,2018-01-01
A003253,33,201712,201801,gasto,2018-01-01
A003259,33,201712,201801,gasto,2018-01-01
A003261,34,201801,201802,gasto,2018-02-01
A003265,34,201801,201802,deposito,2018-02-01
A003268,34,201801,201802,gasto,2018-02-01
A003269,34,201801,201802,gasto,2018-02-01
A003270,34,201801,201802,gasto,2018-02-01
A003271,34,201801,201802,gasto,2018-02-01
A003272,34,201801,201802,gasto,2018-02-01
A003273,34,201801,201802,gasto,2018-02-01
A003277,34,201801,201802,gasto,2018-02-01
A003278,34,201801,201802,gasto,2018-02-01
A003279,34,201801,201802,gasto,2018-02-01
A003280,34,201801,201802,gasto,2018-02-01
A003281,34,201801,201802,gasto,2018-02-01
A003282,34,201801,201802,gasto,2018-02-01
A003283,34,201801,201802,gasto,2018-02-01
A003298,34,201801,201802,gasto,2018-02-01
A003304,34,201801,201802,gasto,2018-02-01
A003305,34,201801,201802,gasto,2018-02-01
A003306,34,201801,201802,gasto,2018-02-01
A003307,34,201801,201802,gasto,2018-02-01
A003308,34,201801,201802,gasto,2018-02-01
A003309,34,201801,201802,gasto,2018-02-01
A003310,34,201801,201802,gasto,2018-02-01
A003315,34,201801,201802,deposito,2018-02-01
A003327,34,201801,201802,gasto,2018-02-01
A003328,34,201801,201802,gasto,2018-02-01
A003329,34,201801,201802,gasto,2018-02-01
A003350,34,201801,201802,gasto,2018-02-01
A003351,34,201801,201802,gasto,2018-02-01
A003352,34,201801,201802,gasto,2018-02-01
A003353,34,201801,201802,gasto,2018-02-01
A003354,34,201801,201802,gasto,2018-02-01
A003355,34,201801,201802,gasto,2018-02-01
A003356,34,201801,201802,gasto,2018-02-01
A003357,34,201801,201802,gasto,2018-02-01
A003358,34,201801,201802,gasto,2018-02-01
A003363,34,201801,201802,gasto,2018-02-01
A003364,34,201801,201802,gasto,2018-02-01
A003365,34,201801,201802,gasto,2018-02-01
