id,id_viaje,grupo_viaje
A014015,V132,G075
A013814,V119,G075
A013790,V116,G075
A013233,V129,G075
A012633,V109,G071
A015605,V142,G080
A012647,V109,G071
A003033,V034,G022
A002897,V028,G021
A015695,V143,G081
A002785,V026,G020
A008708,V083,G056
A002579,V025,G019
A013935-1,V123,G075
A014978,V140,G078
A006329,V078,G052
A002003,V021,G016
A011968,V102,G067
A006001,V068,G047
A002891,V027,G021
A015352,V141,G079
A013102,V112,G072
A009664,V087,G060
A005817,V067,G046
A003298,V045,G029
A013843,V120,G075
A000984,V009,G008
A003682,V045,G029
A015650,V143,G081
A009513,V086,G059
A013834-1,V119,G075
A013911,V122,G075
A009786,V088,G061
A014176,V132,G075
A013945,V123,G075
A010518,V096,G064
A002900,V028,G021
A001410,V013,G011
A013627,V114,G074
A010510,V095,G064
A009473,V086,G059
A014737,V139,G077
A008736,V084,G057
A005829,V066,G046
A015600,V142,G080
A001975,V020,G016
A013867,V122,G075
A013626,V114,G074
A009489,V086,G059
A015913,V145,G082
A014104,V116,G075
A013420,V119,G075
A005834,V067,G046
A003777,V046,G030
A006226,V072,G049
A004853,V052,G036
A002879,V027,G021
A013127,V113,G072
A006545,V078,G052
A003030,V033,G022
A011938,V101,G067
A009684,V087,G060
A013810-1,V118,G075
A001976,V020,G016
A009795,V088,G061
A002902,V028,G021
A015917,V146,G082
A005267,V060,G041
A003140,V037,G024
A003782,V046,G030
A006445,V076,G051
A013918,V123,G075
A013065,V113,G072
A013878-1,V122,G075
A013154,V113,G072
A005662,V064,G045
A014145,V123,G075
A010846,V100,G066
A014226,V119,G075
A012639,V109,G071
A011957,V102,G067
A003051,V034,G022
A005561,V063,G044
A005810,V065,G046
A003770,V046,G030
A000604,V007,G006
A013784,V116,G075
A011798,V101,G067
A002013,V021,G016
A011917,V101,G067
A009491,V086,G059
A006272,V074,G050
A005804,V065,G046
A005042,V056,G039
A001997,V021,G016
A010297,V094,G063
A008747,V084,G057
A004836,V051,G035
A014007-1,V132,G075
A000482,V005,G004
A013659,V114,G074
A014197,V116,G075
A004835,V051,G035
A014616,V134,G076
A013641,V114,G074
A006368,V096,G064
A003659,V045,G029
A013819,V119,G075
A004845,V052,G036
A012366,V107,G069
A013476,V122,G075
A010561,V098,G064
A013970-1,V127,G075
A005789,V065,G046
A011918,V101,G067
A010513,V095,G064
A000461,V005,G004
A013745,V119,G075
A007213,V079,G053
A002322,V023,G017
A013694,V126,G075
A005812,V065,G046
A011953,V102,G067
A009676,V087,G060
A011903,V104,G068
A014120,V122,G075
A006266,V074,G050
A002979,V030,G022
A002044,V026,G020
A015628,V143,G081
A013758,V115,G075
A000211,V002,G002
A015457,V143,G081
A013123,V113,G072
A001934,V019,G016
A014644,V138,G076
A003146,V038,G024
A003075,V036,G022
A013819-1,V119,G075
A002778,V026,G020
A013960-1,V125,G075
A011055,V100,G066
A014620,V135,G076
A003405,V043,G027
A005825,V066,G046
A003013,V031,G022
A013155,V113,G072
A009788,V088,G061
A004911,V052,G036
A002344,V023,G017
A002300,V023,G017
A012618,V109,G071
A011052,V100,G066
A001431,V013,G011
A015680,V143,G081
A013636,V114,G074
A002811,V026,G020
A000463,V005,G004
A013821,V119,G075
A010980,V100,G066
A005565,V063,G044
A006448,V076,G051
A014111,V120,G075
A013047,V111,G073
A013808,V118,G075
A012037,V104,G068
A004055,V047,G031
A014621,V135,G076
A011002,V100,G066
A015637,V143,G081
A005792,V065,G046
A002359,V023,G017
A015458,V143,G081
A001439,V013,G011
A015899,V145,G082
A014128,V122,G075
A012607,V109,G071
A014618,V135,G076
A005713,V064,G045
A005095,V057,G039
A013126,V113,G072
A005091,V056,G039
A013090,V113,G072
A006270,V074,G050
A003303,V047,G031
A012346,V105,G069
A001949,V020,G016
A013124,V113,G072
A005823,V066,G046
A013786-1,V116,G075
A013555,V120,G075
A005702,V064,G045
A003036,V034,G022
A014744,V139,G077
A014237,V121,G075
A004992,V054,G038
A014748,V139,G077
A010101,V094,G063
A004868,V052,G036
A015639,V143,G081
A011096,V100,G066
A001985,V021,G016
A000981,V009,G008
A013895,V122,G075
A003052,V034,G022
A014118,V121,G075
A014629,V137,G076
A013792,V116,G075
A014635,V137,G076
A013546,V119,G075
A013635,V114,G074
A005456,V065,G046
A005029,V055,G038
A013883-1,V122,G075
A013767,V115,G075
A011012,V100,G066
A001933,V019,G016
A010185,V091,G062
A001453,V013,G011
A005688,V064,G045
A002622,V026,G020
A002850,V027,G021
A015306,V141,G079
A013071,V112,G072
A005698,V064,G045
A009483,V086,G059
A013828,V119,G075
A013222,V129,G075
A003894,V047,G031
A013869,V122,G075
A013818-1,V119,G075
A000985,V009,G008
A014031,V133,G075
A014344,V137,G076
A002866,V027,G021
A005268,V060,G041
A001954,V020,G016
A014735,V139,G077
A014140,V123,G075
A013110,V113,G072
