"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","metodo_pago","monto","id_creditos","periodo_inicio","periodo_corte","primer_dia_mes_corte","tipo_credito"
A000928,2016-04-25,NECESIDAD,necesidad,necesidad_7,NECESIDAD4,credito_3,7467.0,13,201604,201605,2016-05-01,deposito
A000967,2016-05-06,P.VIAJE,evento,evento_5839,P.VIAJE1,credito_3,-51889.770000000004,13,201604,201605,2016-05-01,gasto
A000967-1,2016-05-06,P.VIAJE,evento,evento_5838,P.VIAJE2,credito_3,-51889.770000000004,13,201604,201605,2016-05-01,gasto
A000968,2016-05-06,DINERO,transaccion,"1.transaccion_9",DINERO10,credito_3,8806.5,13,201604,201605,2016-05-01,deposito
A001005,2016-05-18,NECESIDAD,necesidad,necesidad_5,NECESIDAD6,credito_3,-7479.0,14,201605,201606,2016-06-01,gasto
A001006,2016-05-18,NECESIDAD,necesidad,necesidad_6,NECESIDAD7,credito_3,7467.0,14,201605,201606,2016-06-01,deposito
A001008,2016-05-18,P.VIAJE,evento,evento_5841,P.VIAJE9,credito_3,103761.54000000001,14,201605,201606,2016-06-01,deposito
A001088,2016-06-08,DINERO,transaccion,"2.transaccion_10",DINERO4,credito_3,8806.5,14,201605,201606,2016-06-01,deposito
A001101,2016-06-13,P.GUSTOS,gustos,"6.gustos_6",P.GUSTOS5,credito_3,-50272.5,15,201606,201607,2016-07-01,gasto
A001129,2016-06-20,NECESIDAD,necesidad,necesidad_6,NECESIDAD9,credito_3,-7479.0,15,201606,201607,2016-07-01,gasto
A001130,2016-06-20,NECESIDAD,necesidad,necesidad_7,NECESIDAD10,credito_3,7467.0,15,201606,201607,2016-07-01,deposito
A001132,2016-06-20,DINERO,transaccion,"3.transaccion_11",DINERO7,credito_3,16773.0,15,201606,201607,2016-07-01,deposito
A001161,2016-07-01,LIBRE,gustos,gustos_577,LIBRE2,credito_3,-16150.5,15,201606,201607,2016-07-01,gasto
A001164,2016-07-05,DINERO,transaccion,transaccion_15,DINERO10,credito_3,16138.5,15,201606,201607,2016-07-01,deposito
