"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","monto","id_viaje","grupo_viaje","periodo_fact_c_diaria"
A010980,2022-12-13,P.VIAJE,regalo,regalo: nombre_8,P.VIAJE7,-2121.0,V100,G066,202212
A005565,2019-08-10,P.VIAJE,consumible,consumible_8032,P.VIAJE8,-19605.0,V063,G044,201908
A006448,2020-02-25,RECREACION,consumible,consumible_9632,RECREACION8,-3813.0,V076,G051,202002
A014111,2024-05-03,P.VIAJE,deuda,deuda: nombre_9,P.VIAJE9,1878.465,V120,G075,202405
A013047,2023-12-10,RECREACION,consumible,consumible: nombre_11,RECREACION3,-21156.0,V111,G073,202312
A013808,2024-04-11,P.VIAJE,consumible,consumible_8059,P.VIAJE1,-8791.710000000001,V118,G075,202404
A012037,2023-06-16,P.VIAJE,consumible,consumible_6853,P.VIAJE7,-2579.25,V104,G068,202306
A004055,2018-07-31,P.VIAJE,deuda,deuda: nombre_16,P.VIAJE4,-111748.5,V047,G031,201807
A014621,2024-07-19,P.VIAJE,regalo,regalo: nombre_11,P.VIAJE10,-14811.0,V135,G076,202407
A011002,2022-12-15,P.VIAJE,consumible,consumible_9642,P.VIAJE8,-9876.0,V100,G066,202212
A015637,2025-04-12,P.VIAJE,regalo,regalo: nombre_1,P.VIAJE9,-7056.0,V143,G081,202504
A005792,2019-10-01,P.VIAJE,evento,evento_5650,P.VIAJE10,-5646.0,V065,G046,201910
A002359,2017-06-13,P.VIAJE,deuda,deuda: nombre_4,P.VIAJE6,-176256.0,V023,G017,201706
A015458,2025-02-17,P.VIAJE,deuda,deuda_6195,P.VIAJE5,-402702.0,V143,G081,202502
A001439,2016-09-24,P.VIAJE,recreacion,recreacion_8,P.VIAJE8,-65599.905,V013,G011,201609
A015899,2025-07-05,P.VIAJE,consumible,consumible_9964,P.VIAJE6,-640.5,V145,G082,202507
A014128,2024-05-03,P.VIAJE,deuda,deuda: nombre_14,P.VIAJE5,2556.675,V122,G075,202405
A012607,2023-09-23,P.VIAJE,evento,evento_5904,P.VIAJE6,-25033.5,V109,G071,202309
A014618,2024-07-19,P.VIAJE,transporte,transporte_18,P.VIAJE2,-15375.0,V135,G076,202407
A005713,2019-09-21,P.VIAJE,consumible,consumible_10745,P.VIAJE5,-1980.0,V064,G045,201909
A005095,2019-05-04,P.VIAJE,consumible,consumible_10748,P.VIAJE2,-1874.25,V057,G039,201905
A013126,2023-12-28,P.VIAJE,consumible,consumible_8250,P.VIAJE10,-3531.0,V113,G072,202312
A005091,2019-05-04,P.VIAJE,consumible,consumible_7843,P.VIAJE7,-2861.25,V056,G039,201905
A013090,2023-12-21,P.VIAJE,recreacion,recreacion: nombre_9,P.VIAJE5,7044.0,V113,G072,202312
A006270,2019-12-26,P.VIAJE,transporte,transporte_19,P.VIAJE2,-15789.257999999998,V074,G050,201912
A003303,2018-01-17,P.VIAJE,deuda,deuda: nombre_10,P.VIAJE9,-94891.95000000001,V047,G031,201801
A012346,2023-07-28,P.VIAJE,regalo,regalo: nombre_4,P.VIAJE2,-2473.5,V105,G069,202307
A001949,2017-03-14,P.VIAJE,consumible,consumible_10686,P.VIAJE4,-1416.0,V020,G016,201703
A013124,2023-12-27,P.VIAJE,necesidad,necesidad_20,P.VIAJE8,-4447.5,V113,G072,202312
A005823,2019-10-03,P.VIAJE,consumible,consumible_10948,P.VIAJE2,-3883.5,V066,G046,201910
A013786-1,2024-04-09,P.VIAJE,deuda,deuda: nombre_11,P.VIAJE7,-634.155,V116,G075,202404
A013555,2024-03-12,P.VIAJE,evento,evento_5830,P.VIAJE10,-19524.63,V120,G075,202403
A005702,2019-09-21,P.VIAJE,consumible,consumible_8342,P.VIAJE8,-9735.0,V064,G045,201909
A003036,2017-11-19,P.VIAJE,consumible,consumible_9827,P.VIAJE3,-6456.045,V034,G022,201711
A014744,2024-08-11,P.VIAJE,deuda,deuda: nombre_13,P.VIAJE9,-8395.5,V139,G077,202408
A014237,2024-05-03,P.VIAJE,deuda,deuda: nombre_14,P.VIAJE6,9542.8725,V121,G075,202405
A004992,2019-04-13,P.VIAJE,recreacion,recreacion_15,P.VIAJE2,-852.0,V054,G038,201904
A014748,2024-08-11,P.VIAJE,regalo,regalo: nombre_12,P.VIAJE1,-2473.5,V139,G077,202408
A010101,2022-08-09,P.VIAJE,necesidad,necesidad_10,P.VIAJE7,-67800.915,V094,G063,202208
A004868,2019-03-22,P.VIAJE,deuda,deuda: nombre_20,P.VIAJE1,-323.25,V052,G036,201903
A015639,2025-04-12,P.VIAJE,regalo,regalo: nombre_7,P.VIAJE1,-7056.0,V143,G081,202504
A011096,2023-01-08,P.VIAJE,consumible,consumible_8069,P.VIAJE1,-9171.0,V100,G066,202301
A001985,2017-03-17,P.VIAJE,consumible,consumible_11126,P.VIAJE4,-5434.5,V021,G016,201703
A000981,2016-05-14,P.VIAJE,transporte,transporte_19,P.VIAJE9,-24681.0,V009,G008,201605
A013895,2024-04-17,P.VIAJE,consumible,consumible_7100,P.VIAJE10,-5195.505,V122,G075,202404
A003052,2017-11-25,P.VIAJE,consumible,consumible_8225,P.VIAJE5,-6864.945000000001,V034,G022,201711
A014118,2024-05-03,P.VIAJE,deuda,deuda: nombre_20,P.VIAJE5,16383.84,V121,G075,202405
A014629,2024-07-20,P.VIAJE,recreacion,recreacion_20,P.VIAJE2,-3531.0,V137,G076,202407
A013792,2024-04-09,P.VIAJE,consumible,consumible_8131,P.VIAJE9,-5207.8425,V116,G075,202404
A014635,2024-07-21,P.VIAJE,necesidad,necesidad_19,P.VIAJE8,-4941.0,V137,G076,202407
A013546,2024-03-11,P.VIAJE,evento,evento_5816,P.VIAJE4,-26031.074999999997,V119,G075,202403
A013635,2024-03-25,P.VIAJE,hogar,hogar: nombre_17,P.VIAJE4,-56406.0,V114,G074,202403
A005456,2019-07-17,P.VIAJE,necesidad,necesidad_13,P.VIAJE5,-440.985,V065,G046,201907
A005029,2019-04-20,P.VIAJE,consumible,consumible_9545,P.VIAJE5,-2755.5,V055,G038,201904
A013883-1,2024-04-16,P.VIAJE,deuda,deuda: nombre_16,P.VIAJE1,-2114.655,V122,G075,202404
A013767,2024-04-09,P.VIAJE,transporte,transporte_18,P.VIAJE1,-7341.525,V115,G075,202404
A011012,2022-12-17,P.VIAJE,hogar,hogar_5134,P.VIAJE6,-35319.45,V100,G066,202212
A001933,2017-03-12,P.VIAJE,transporte,transporte_16,P.VIAJE2,-4929.015,V019,G016,201703
